D0,M 0.0003,N 0.0003,O 0.0003,MN 0.0003,MNO 0.0003,M 0.0001,N 0.0001,O 0.0001,MN 0.0001,MNO 0.0001,M 0.00003,N 0.00003,O 0.00003,MN 0.00003,MNO 0.00003,M 0.00001,N 0.00001,O 0.00001,MN 0.00001,MNO 0.00001,M 0.000003,N 0.000003,O 0.000003,MN 0.000003,MNO 0.000003,M 0.000001,N 0.000001,O 0.000001,MN 0.000001,MNO 0.000001
3.75,8.22E-05,8.22E-05,4.96E-01,4.96E-01,8.11E-03,1.84E-04,1.84E-04,4.98E-01,4.98E-01,3.61E-03,2.60E-04,2.60E-04,4.99E-01,4.99E-01,8.29E-04,4.50E-04,4.50E-04,5.00E-01,4.99E-01,2.77E-04,8.20E-04,8.20E-04,5.00E-01,4.99E-01,8.29E-05,1.42E-03,1.42E-03,4.99E-01,4.98E-01,2.76E-05
3.85,3.90E-05,3.90E-05,4.91E-01,4.91E-01,1.73E-02,6.75E-05,6.75E-05,4.97E-01,4.97E-01,5.95E-03,1.59E-04,1.59E-04,4.99E-01,4.99E-01,2.38E-03,2.75E-04,2.75E-04,4.99E-01,4.99E-01,7.99E-04,4.54E-04,4.54E-04,5.00E-01,4.99E-01,4.78E-04,7.85E-04,7.85E-04,5.00E-01,4.99E-01,1.59E-04
3.95,1.84E-05,1.84E-05,4.82E-01,4.82E-01,3.58E-02,3.20E-05,3.20E-05,4.94E-01,4.94E-01,1.28E-02,5.84E-05,5.84E-05,4.98E-01,4.98E-01,3.94E-03,1.01E-04,1.01E-04,4.99E-01,4.99E-01,1.32E-03,4.54E-04,4.54E-04,5.00E-01,4.99E-01,4.78E-04,7.85E-04,7.85E-04,5.00E-01,4.99E-01,1.59E-04
4.05,8.71E-06,8.71E-06,4.65E-01,4.65E-01,7.06E-02,1.51E-05,1.51E-05,4.87E-01,4.87E-01,2.69E-02,2.76E-05,2.76E-05,4.96E-01,4.96E-01,8.53E-03,4.78E-05,4.78E-05,4.99E-01,4.98E-01,2.89E-03,8.73E-05,8.73E-05,5.00E-01,4.99E-01,8.72E-04,1.51E-04,1.51E-04,5.00E-01,5.00E-01,2.91E-04
4.15,4.10E-06,4.10E-06,4.35E-01,4.35E-01,1.29E-01,7.14E-06,7.14E-06,4.73E-01,4.73E-01,5.44E-02,1.31E-05,1.31E-05,4.91E-01,4.91E-01,1.82E-02,2.26E-05,2.26E-05,4.97E-01,4.97E-01,6.29E-03,4.13E-05,4.13E-05,4.99E-01,4.99E-01,1.91E-03,7.15E-05,7.15E-05,5.00E-01,5.00E-01,6.40E-04
4.25,1.91E-06,1.91E-06,3.92E-01,3.92E-01,2.15E-01,3.36E-06,3.36E-06,4.48E-01,4.48E-01,1.03E-01,6.17E-06,6.17E-06,4.81E-01,4.81E-01,3.78E-02,1.07E-05,1.07E-05,4.93E-01,4.93E-01,1.36E-02,1.95E-05,1.95E-05,4.98E-01,4.98E-01,4.19E-03,3.38E-05,3.38E-05,4.99E-01,4.99E-01,1.41E-03
4.35,8.71E-07,8.71E-07,3.38E-01,3.38E-01,3.24E-01,1.57E-06,1.57E-06,4.11E-01,4.11E-01,1.79E-01,2.90E-06,2.90E-06,4.63E-01,4.63E-01,7.46E-02,5.04E-06,5.04E-06,4.86E-01,4.86E-01,2.86E-02,9.21E-06,9.21E-06,4.95E-01,4.95E-01,9.10E-03,1.59E-05,1.59E-05,4.98E-01,4.98E-01,3.09E-03
4.45,3.89E-07,3.89E-07,2.78E-01,2.78E-01,4.44E-01,7.22E-07,7.22E-07,3.60E-01,3.60E-01,2.80E-01,1.36E-06,1.36E-06,4.32E-01,4.32E-01,1.36E-01,2.37E-06,2.37E-06,4.71E-01,4.71E-01,5.78E-02,4.34E-06,4.34E-06,4.90E-01,4.90E-01,1.95E-02,7.52E-06,7.52E-06,4.97E-01,4.97E-01,6.76E-03
4.55,1.69E-07,1.69E-07,2.19E-01,2.19E-01,5.62E-01,3.25E-07,3.25E-07,3.01E-01,3.01E-01,3.97E-01,6.31E-07,6.31E-07,3.88E-01,3.88E-01,2.25E-01,1.45E-06,1.45E-06,4.39E-01,4.39E-01,1.23E-01,2.05E-06,2.05E-06,4.80E-01,4.80E-01,4.05E-02,3.54E-06,3.54E-06,4.93E-01,4.93E-01,1.46E-02
4.65,7.17E-08,7.17E-08,1.66E-01,1.66E-01,6.69E-01,1.43E-07,1.43E-07,2.41E-01,2.41E-01,5.18E-01,2.87E-07,2.87E-07,3.32E-01,3.32E-01,3.36E-01,5.19E-07,5.19E-07,4.06E-01,4.06E-01,1.88E-01,9.61E-07,9.61E-07,4.60E-01,4.60E-01,7.96E-02,1.67E-06,1.67E-06,4.85E-01,4.85E-01,3.08E-02
4.75,2.96E-08,2.96E-08,1.21E-01,1.21E-01,7.57E-01,6.10E-08,6.10E-08,1.85E-01,1.85E-01,6.30E-01,1.28E-07,1.28E-07,2.72E-01,2.72E-01,4.57E-01,2.38E-07,2.38E-07,3.54E-01,3.54E-01,2.92E-01,4.49E-07,4.49E-07,4.28E-01,4.28E-01,1.44E-01,1.02E-06,1.02E-06,4.63E-01,4.63E-01,7.38E-02
4.85,1.20E-08,1.20E-08,8.68E-02,8.68E-02,8.26E-01,2.54E-08,2.54E-08,1.37E-01,1.37E-01,7.26E-01,5.52E-08,5.52E-08,2.13E-01,2.13E-01,5.75E-01,1.07E-07,1.07E-07,2.95E-01,2.95E-01,4.11E-01,2.07E-07,2.07E-07,3.82E-01,3.82E-01,2.36E-01,3.67E-07,3.67E-07,4.42E-01,4.42E-01,1.17E-01
